,Xe,Ye
226,17.34127542749722,-15.06497901045202
227,,
228,20.979452678930574,-13.266928866494764
229,21.417947131431085,-12.080584731457098
230,,
231,22.533184538705868,-13.407883728165153
232,20.979452678930574,-13.266928866494764
233,,
234,15.318894128939636,-17.585307547725645
235,16.224568389143112,-16.851924749822047
236,,
237,22.533184538705868,-13.407883728165153
238,20.979452678930574,-13.266928866494764
239,,
240,17.34127542749722,-15.06497901045202
241,17.573685173685153,-13.778958475285005
242,,
243,15.173419291589543,-14.561056342395235
244,15.198856837008874,-16.714834370144096
245,,
246,20.698663521743523,-13.123342176903428
247,20.296092087464835,-11.713786535990657
248,,
249,28.21757158470407,-27.769012031725374
250,28.945728201957426,-27.21955491221136
251,,
252,15.954351007064988,-15.474225938259083
253,14.859703076398452,-15.53821918339628
254,,
255,15.954351007064988,-15.474225938259083
256,14.85508432118364,-15.862414073044969
257,,
258,15.954351007064988,-15.474225938259083
259,14.877859067534336,-15.155570809503335
260,,
261,15.954351007064988,-15.474225938259083
262,14.92891335862313,-14.828545130538743
263,,
264,14.913375499226065,-15.050368911168848
265,15.954351007064988,-15.474225938259083
266,,
267,19.81461937706715,-17.47468136004619
268,18.932007809482172,-16.36592891742919
269,,
270,15.954351007064988,-15.474225938259083
271,14.92891335862313,-14.828545130538743
272,,
273,19.81461937706715,-17.47468136004619
274,18.932007809482172,-16.36592891742919
275,,
276,17.34127542749722,-15.06497901045202
277,18.16198276091194,-15.17531134927843
278,,
279,17.34127542749722,-15.06497901045202
280,17.183018227991376,-13.887279618182824
281,,
282,17.34127542749722,-15.06497901045202
283,17.748504948105722,-15.955223020755259
284,,
285,16.920758844206624,-19.355645205019666
286,18.224303132863444,-18.97504159848836
287,,
288,33.873560427607046,-11.275762134364882
289,34.11913636938933,-12.203892415741693
290,,
291,17.34127542749722,-15.06497901045202
292,15.954351007064988,-15.474225938259083
293,,
294,33.873560427607046,-11.275762134364882
295,34.11913636938933,-12.203892415741693
296,,
297,17.946483803698342,-9.074377240571902
298,18.089302521202086,-8.008292904689753
299,,
300,23.944454117077612,-29.881621330674218
301,24.793544464014513,-29.592115781302297
302,,
303,23.944454117077612,-29.881621330674218
304,24.793544464014513,-29.592115781302297
305,,
306,23.944454117077612,-29.881621330674218
